uuid,start_time,end_time,time_offset,count,calorie,distance
03c1694a-0483-47e6-85fd-e469b87df111,1777622400000,1777708740000,60,10000,200,4000
7e524341-c155-4a00-aae9-d2a6d59b5291,1777708800000,1777795140000,60,25000,200,4000
403503ed-5ef6-487f-8050-119a59dc01f9,1777795200000,1777881540000,60,40000,200,4000
76638849-d242-4ce8-9f7b-b9a86b761f03,1777881600000,1777967940000,60,10000,200,4000
4132f0e2-2a7a-4cb7-a4b8-25a6c74143ae,1777968000000,1778054340000,60,25000,200,4000
9820d31c-ce27-4776-b98e-eb5152d99e8f,1778054400000,1778140740000,60,40000,200,4000
c4ee9d09-ec3c-4c5c-a48e-0b6ce4aa495c,1778140800000,1778227140000,60,10000,200,4000
a0360df4-b29f-4bef-9e10-c6920e24f5f4,1778227200000,1778313540000,60,25000,200,4000
96c67ea7-0291-4624-86cf-65ae3f8cfe59,1778313600000,1778399940000,60,40000,200,4000
d18c3d17-d958-4444-b17a-2fc43ed79443,1778400000000,1778486340000,60,10000,200,4000
c79801eb-7892-4819-8217-e450967a64ca,1778486400000,1778572740000,60,25000,200,4000
8383b054-5ec1-480d-adca-8e192ec0594e,1778572800000,1778659140000,60,40000,200,4000
714bce9e-096f-47e6-acca-d9c570a25208,1778659200000,1778745540000,60,10000,200,4000
0bf87608-fb95-4ce3-8c75-15591cf58c6a,1778745600000,1778831940000,60,25000,200,4000
