uuid,start_time,end_time,time_offset,count,calorie,distance
abcb80db-e569-4a92-96af-1a82f12ad5cc,1777622400000,1777708740000,60,1500,200,4000
6cf227a1-632e-4526-b370-a176b3cb266f,1777708800000,1777795140000,60,2000,200,4000
3508b62c-60b9-454a-9b22-eca6aa419de7,1777795200000,1777881540000,60,2500,200,4000
a5261570-33f4-4095-8219-a029f6f32bbc,1777881600000,1777967940000,60,1500,200,4000
f9931769-bdbb-4c00-951f-b3f8ac11605e,1777968000000,1778054340000,60,2000,200,4000
f0cc2ad7-deeb-45b1-84c2-f0a7cd5f3066,1778054400000,1778140740000,60,2500,200,4000
26ec2ed8-046d-4c5c-b9b3-938cfb77147d,1778140800000,1778227140000,60,1500,200,4000
7223dbc6-6a27-414a-b9ff-38d2085f82b1,1778227200000,1778313540000,60,2000,200,4000
25c26969-a46a-43d0-88e0-6955ebeb6ce7,1778313600000,1778399940000,60,2500,200,4000
a3e4e4af-dbe7-4086-ab65-6767c3e55505,1778400000000,1778486340000,60,1500,200,4000
a702a351-326d-4932-a089-6a6a342d546c,1778486400000,1778572740000,60,2000,200,4000
f9acc485-82fe-41ef-a230-4732da3905b6,1778572800000,1778659140000,60,2500,200,4000
f70fb857-c290-4eb6-a075-b8fda5caffc3,1778659200000,1778745540000,60,1500,200,4000
52138611-3427-4ce9-b7eb-86c1c47a58ca,1778745600000,1778831940000,60,2000,200,4000
