uuid,start_time,end_time,time_offset,count,calorie,distance
9b7bdee0-9daf-4708-b4cf-15ca6f9fddd2,1777622400000,1777708740000,60,8000,200,4000
e3002076-010c-4a9e-aebf-e3d1e073b93f,1777708800000,1777795140000,60,9000,200,4000
96dddf5d-27b1-4b41-a332-b86ce3f893e5,1777795200000,1777881540000,60,10000,200,4000
89518cc9-2db4-4d21-a3af-2f7a9ec35df8,1777881600000,1777967940000,60,8000,200,4000
3863114a-d7a3-44cd-883f-738bd2f32385,1777968000000,1778054340000,60,9000,200,4000
fad33343-71c7-432c-b2a2-d5b95cc0ffeb,1778054400000,1778140740000,60,10000,200,4000
a2b19000-63d9-4bda-b3c0-0d2edc24ed90,1778140800000,1778227140000,60,8000,200,4000
b8d4dbdf-6e41-4cce-b24c-a06ccd089968,1778227200000,1778313540000,60,9000,200,4000
c9c34137-80dd-44b8-9149-62be563df61b,1778313600000,1778399940000,60,10000,200,4000
d56e467a-c1fa-43e1-8384-d8f28bac0167,1778400000000,1778486340000,60,8000,200,4000
06262717-9ff8-4ed1-9d65-067eb775627a,1778486400000,1778572740000,60,9000,200,4000
bf540ca3-46ed-428f-9983-443dc235fe94,1778572800000,1778659140000,60,10000,200,4000
372f60e8-45ee-4ca3-93c3-4860a51d30ca,1778659200000,1778745540000,60,8000,200,4000
4ded7e17-222f-49e6-a5d0-da85c336b0b1,1778745600000,1778831940000,60,9000,200,4000
