uuid,start_time,end_time,time_offset,count,calorie,distance
fc6189ee-50d6-4f77-8117-c5a154d72b08,1777622400000,1777708740000,60,800,200,4000
4c0a4651-2113-4fea-9af7-da8008ac16b5,1777708800000,1777795140000,60,1200,200,4000
11c853d2-336b-43c9-bbd1-d8f48c5320fb,1777795200000,1777881540000,60,1600,200,4000
4b78cbb9-2c64-4382-bbf3-e3abb3cb6eb7,1777881600000,1777967940000,60,800,200,4000
501c7324-a135-4a8a-add8-f06c79e9dfb4,1777968000000,1778054340000,60,1200,200,4000
30d0c306-3a66-4be0-9e29-778526fb97d3,1778054400000,1778140740000,60,1600,200,4000
66acbb65-2f5b-4a05-839f-172a1bdf4297,1778140800000,1778227140000,60,800,200,4000
18680f9b-820a-4bc3-b7af-80494291de87,1778227200000,1778313540000,60,1200,200,4000
2b22cd6e-c4d3-4672-96e3-202ee4ac946d,1778313600000,1778399940000,60,1600,200,4000
9853e754-aad8-4a21-bca0-c3f7087ce9ec,1778400000000,1778486340000,60,800,200,4000
26aee13e-f6e4-43b4-9b55-389db6121ca8,1778486400000,1778572740000,60,1200,200,4000
4e415570-dc4c-4c7e-baa5-055019c4cd1b,1778572800000,1778659140000,60,1600,200,4000
8254615c-4a00-41c6-9767-ea98e0572199,1778659200000,1778745540000,60,800,200,4000
b53a5e1b-f6c2-4248-ae5b-ceb807d47583,1778745600000,1778831940000,60,1200,200,4000
